Entity,Code,1905,1950,1995,2021
Afghanistan,AFG,,27.7275,52.5442,61.9824
Africa,,,37.6235,52.1161,61.6609
Albania,ALB,,44.7355,74.3616,76.4626
Algeria,DZA,,42.3596,67.4544,76.3767
American Samoa,ASM,,60.9554,71.1018,72.5398
Americas,,,58.116535,71.9336,74.189156
Andorra,AND,,64.5863,78.9616,80.3684
Angola,AGO,,36.349,45.8491,61.6434
Anguilla,AIA,,55.2621,74.4342,76.6138
Antigua and Barbuda,ATG,,57.1374,73.6363,78.4968
Argentina,ARG,39.7,61.226,73.1333,75.3899
Armenia,ARM,,59.2626,69.3108,72.0431
Aruba,ABW,,57.1739,73.3493,74.6265
Asia,,,42.024,65.6966,72.5321
Australia,AUS,57.0,69.0,78.2619,84.5265
Austria,AUT,,64.8131,76.7766,81.5797
Azerbaijan,AZE,,53.4364,62.3052,69.3658
Bahamas,BHS,,60.0029,70.7628,71.5983
Bahrain,BHR,,38.0779,73.7988,78.7605
Bangladesh,BGD,,38.1802,59.4673,72.3811
Barbados,BRB,,55.2382,73.2983,77.5714
Belarus,BLR,,59.4863,68.7966,72.438
Belgium,BEL,50.03,66.3066,76.8385,81.8787
Belize,BLZ,,50.4255,69.8874,70.4697
Benin,BEN,,34.9513,55.2947,59.821
Bermuda,BMU,,54.6874,76.137,79.2801
Bhutan,BTN,,30.0681,59.5164,71.815
Bolivia,BOL,,40.6261,59.5337,63.6304
Bonaire Sint Eustatius and Saba,BES,,60.6977,75.4433,75.0859
Bosnia and Herzegovina,BIH,,48.9475,70.2839,75.3003
Botswana,BWA,,44.9449,55.0594,61.1409
Brazil,BRA,,48.1155,67.9191,72.7504
British Virgin Islands,VGB,,44.717,74.2401,74.4941
Brunei,BRN,,50.0215,72.8161,74.6424
Bulgaria,BGR,43.3,61.4912,71.0024,71.798
Burkina Faso,BFA,,33.1172,49.4459,59.2696
Burundi,BDI,,40.5788,44.0593,61.6627
Cambodia,KHM,,38.9368,56.3076,69.5835
Cameroon,CMR,,34.457,53.2218,60.3334
Canada,CAN,,68.2145,78.0194,82.6565
Cape Verde,CPV,,47.2954,64.0928,74.0518
Cayman Islands,CYM,,53.956,72.2916,75.1267
Central African Republic,CAF,,35.3891,47.35,53.8947
Chad,TCD,,36.206,46.7106,52.5254
Chile,CHL,,53.1764,74.6085,78.9435
China,CHN,,43.7383,70.008,78.2107
Colombia,COL,,48.219,69.9325,72.8296
Comoros,COM,,36.5489,58.0146,63.4174
Congo,COG,,40.0627,53.644,63.5187
Cook Islands,COK,,36.9466,68.2777,74.7598
Costa Rica,CRI,,53.7513,76.5519,77.0232
Cote d'Ivoire,CIV,,32.1051,51.6104,58.5983
Croatia,HRV,,58.767,73.1864,77.5804
Cuba,CUB,34.158,60.1082,74.6231,73.6829
Curacao,CUW,,61.1354,72.7456,75.4398
Cyprus,CYP,45.0,56.9498,75.1329,81.2033
Czechia,CZE,,64.4058,73.1775,77.7283
Democratic Republic of Congo,COD,,38.3077,50.411,59.193
Denmark,DNK,54.37,70.3084,75.2856,81.3753
Djibouti,DJI,,40.5665,56.3016,62.3049
Dominica,DMA,,46.1962,71.5203,72.814
Dominican Republic,DOM,,44.2981,68.9884,72.6146
East Timor,TLS,,29.0466,48.0238,67.7369
Ecuador,ECU,,49.2006,71.0408,73.67
Egypt,EGY,,35.3675,66.312,70.2207
El Salvador,SLV,,42.3969,66.3297,70.7479
England and Wales,,50.83,,,
Equatorial Guinea,GNQ,,39.3245,51.5915,60.5943
Eritrea,ERI,,33.3531,54.9137,66.5358
Estonia,EST,,67.0801,68.7257,77.1436
Eswatini,SWZ,,42.9727,56.1477,57.0657
Ethiopia,ETH,,36.3529,48.3016,64.9748
Europe,,,62.8339,72.1867,77.0336
Falkland Islands,FLK,,49.054,62.411,78.6204
Faroe Islands,FRO,,59.8176,76.3566,79.2589
Fiji,FJI,,49.5294,66.2856,67.114
Finland,FIN,46.05,64.2015,76.6039,82.0381
France,FRA,48.38,66.3819,77.8713,82.4988
French Guiana,GUF,,49.1754,72.3731,74.8873
French Polynesia,PYF,,51.9433,76.0084,79.4856
Gabon,GAB,,39.6288,60.704,65.821
Gambia,GMB,,31.7573,55.464,62.083
Georgia,GEO,,57.7415,68.8509,71.694
Germany,DEU,45.45,66.7975,76.5619,80.6301
Ghana,GHA,,43.1088,56.5652,63.7954
Gibraltar,GIB,,67.9963,76.5559,79.3291
Greece,GRC,,66.4479,77.8214,80.1106
Greenland,GRL,,45.8721,65.5895,72.3542
Grenada,GRD,,52.8365,72.1095,74.9362
Guadeloupe,GLP,,49.7056,75.7963,80.535
Guam,GUM,,55.9411,73.2898,76.6564
Guatemala,GTM,,39.4245,64.1954,69.2368
Guernsey,GGY,,70.2148,78.3558,82.2318
Guinea,GIN,,35.5446,49.8658,58.8922
Guinea-Bissau,GNB,,35.6206,48.9516,59.6523
Guyana,GUY,,49.5414,63.1358,65.6734
Haiti,HTI,,37.4789,55.5471,63.1924
High-income countries,,,61.5421,76.2362,80.2685
Honduras,HND,,42.735,67.139,70.1229
Hong Kong,HKG,,59.3227,79.1505,85.4734
Hungary,HUN,,62.1384,69.9689,74.5301
Iceland,ISL,49.45,71.2223,78.2237,82.6782
India,IND,23.98,41.7232,60.5962,67.2398
Indonesia,IDN,,39.4044,65.2375,67.5703
Iran,IRN,,38.9616,67.7846,73.8749
Iraq,IRQ,,38.9793,66.4641,70.3779
Ireland,IRL,,65.5775,75.4783,81.9976
Isle of Man,IMN,,61.4161,73.2639,80.5253
Israel,ISR,,68.1852,77.6352,82.255
Italy,ITA,43.99,65.7249,78.1161,82.8502
Jamaica,JAM,37.6,56.8025,71.5487,70.5003
Japan,JPN,39.222,59.2323,79.6702,84.7839
Jersey,JEY,,70.0073,77.3293,80.6555
Jordan,JOR,,39.9604,70.8699,74.2563
Kazakhstan,KAZ,,56.0542,63.7216,69.3622
Kenya,KEN,,38.9024,55.617,61.427
Kiribati,KIR,,45.671,63.0135,67.4172
Kosovo,OWID_KOS,,57.8986,72.4414,76.8062
Kuwait,KWT,,48.4674,75.5368,78.6729
Kyrgyzstan,KGZ,,52.4668,63.927,69.9774
Land-locked Developing Countries (LLDC),,,39.4836,51.9796,63.7099
Laos,LAO,,38.6957,56.3851,68.0608
Latin America and the Caribbean,,,48.5587,69.4126,72.1639
Latvia,LVA,,68.6354,67.015,73.5786
Least developed countries,,,36.7606,52.1806,64.0715
Lebanon,LBN,,61.0348,72.0432,75.0472
Lesotho,LSO,,44.8309,56.7232,53.062
Less developed regions,,,41.2643,63.025,69.5611
"Less developed regions, excluding China",,,40.297,60.9079,67.1767
"Less developed regions, excluding least developed countries",,,41.9655,65.0858,70.738
Liberia,LBR,,38.4917,43.9166,60.7472
Libya,LBY,,33.5863,71.0895,71.9112
Liechtenstein,LIE,,62.3037,77.5759,83.2575
Lithuania,LTU,,66.1172,69.3271,73.7201
Low-income countries,,,31.5921,50.1269,62.4518
Lower-middle-income countries,,,41.1291,60.4107,66.4477
Luxembourg,LUX,46.208,66.3693,76.7049,82.6287
Macao,MAC,,59.7969,79.3491,85.3994
Madagascar,MDG,,39.6461,54.9612,64.4853
Malawi,MWI,,32.7459,43.6414,62.9044
Malaysia,MYS,,46.9976,72.3838,74.8839
Maldives,MDV,,37.3562,67.476,79.9182
Mali,MLI,,28.1697,47.8157,58.9414
Malta,MLT,,61.5844,77.0909,83.7769
Marshall Islands,MHL,,52.0572,62.774,65.2688
Martinique,MTQ,,54.1602,76.2821,80.6912
Mauritania,MRT,,38.7429,60.259,64.3636
Mauritius,MUS,,52.4424,70.5263,73.5552
Mayotte,MYT,,42.9045,73.6679,74.2286
Mexico,MEX,26.8,43.9656,71.6457,70.2127
Micronesia (country),FSM,,49.3581,68.5528,70.71
Middle-income countries,,,43.5208,63.977,70.1139
Moldova,MDA,,56.1392,65.0985,68.8459
Monaco,MCO,,66.4679,78.7799,85.9463
Mongolia,MNG,,39.5683,60.6125,70.9754
Montenegro,MNE,,59.4447,74.1951,76.3426
Montserrat,MSR,,48.0431,74.1805,75.593
More developed regions,,,63.5226,73.942,78.065
Morocco,MAR,,39.1012,64.7358,74.0419
Mozambique,MOZ,,37.2587,46.04,59.3247
Myanmar,MMR,,35.4352,58.259,65.6716
Namibia,NAM,,41.5307,58.634,59.269
Nauru,NRU,,56.6585,61.3214,63.617
Nepal,NPL,,37.6845,59.3175,68.4495
Netherlands,NLD,52.1,71.4403,77.5454,81.6873
New Caledonia,NCL,,48.6332,70.7483,79.0196
New Zealand,NZL,,69.2532,76.7886,82.4513
Nicaragua,NIC,,41.0262,65.6078,73.8368
Niger,NER,,36.2515,45.7738,61.5763
Nigeria,NGA,,35.8097,45.487,52.676
Niue,NIU,,54.556,66.4671,70.819
No income group available,,,51.0482,72.0176,70.5838
North Korea,PRK,,13.8211,60.8944,73.2845
North Macedonia,MKD,,50.2435,71.6738,73.8415
Northern America,,,68.0427,76.0639,77.7299
Northern Mariana Islands,MNP,,58.8505,73.1886,77.1871
Norway,NOR,55.09,71.5879,77.7967,83.2339
Oceania,,,61.3765,74.2723,79.4444
Oman,OMN,,29.6701,71.9901,72.5406
Pakistan,PAK,,34.9568,59.8784,66.0979
Palau,PLW,,52.9168,63.2213,66.0204
Palestine,PSE,,45.7871,69.6619,73.4727
Panama,PAN,,54.975,72.3847,76.2233
Papua New Guinea,PNG,,39.1269,61.0491,65.3506
Paraguay,PRY,,58.5262,69.0092,70.2617
Peru,PER,,46.2426,67.6445,72.3769
Philippines,PHL,,53.3617,68.2231,69.2664
Poland,POL,,59.1411,71.9193,76.4572
Portugal,PRT,,58.4793,75.5501,81.0443
Puerto Rico,PRI,,60.5124,74.3635,80.1618
Qatar,QAT,,52.7016,74.2499,79.2716
Reunion,REU,,46.7738,74.3593,81.6104
Romania,ROU,,62.2481,69.5602,74.1847
Russia,RUS,,57.2141,64.101,69.419
Rwanda,RWA,,43.3431,39.9692,66.0722
Saint Barthelemy,BLM,,53.9543,75.8595,80.4292
Saint Helena,SHN,,65.9547,73.167,76.8406
Saint Kitts and Nevis,KNA,,54.4274,67.1523,71.6822
Saint Lucia,LCA,,45.6369,71.0024,71.1114
Saint Martin (French part),MAF,,63.5656,75.8207,80.3788
Saint Pierre and Miquelon,SPM,,59.3458,73.3991,77.1925
Saint Vincent and the Grenadines,VCT,,51.4259,72.0974,69.6291
Samoa,WSM,,47.7278,69.2984,72.7675
San Marino,SMR,,68.7406,79.606,80.8786
Sao Tome and Principe,STP,,40.0701,61.0556,67.5912
Saudi Arabia,SAU,,40.9858,71.0109,76.936
Scotland,,49.71,,,
Senegal,SEN,,36.4332,56.8385,67.0926
Serbia,SRB,,57.7185,71.7694,74.1923
Seychelles,SYC,,50.8792,68.5282,71.2945
Sierra Leone,SLE,,29.5691,42.7157,60.0624
Singapore,SGP,,50.7019,75.9757,82.7545
Sint Maarten (Dutch part),SXM,,59.788,72.4064,73.9724
Slovakia,SVK,,60.7756,72.255,74.9101
Slovenia,SVN,,57.8161,74.5783,80.6904
Small Island Developing States (SIDS),,,48.8265,66.7833,70.8139
Solomon Islands,SLB,,40.0295,66.3807,70.3477
Somalia,SOM,,41.4044,50.6005,55.2803
South Africa,ZAF,,43.4715,62.2616,62.341
South Korea,KOR,,21.312,73.9409,83.6978
South Sudan,SSD,,31.2475,30.9483,54.9752
Spain,ESP,,61.7542,78.2029,83.01
Sri Lanka,LKA,,54.7737,72.2601,76.3991
Sudan,SDN,,46.7712,51.991,65.2667
Suriname,SUR,,50.4352,65.3371,70.2743
Sweden,SWE,54.42,71.1394,78.8214,82.9833
Switzerland,CHE,49.69,68.9133,78.5648,83.9872
Syria,SYR,,44.1443,70.4163,72.0627
Taiwan,TWN,,55.6661,74.6447,81.0073
Tajikistan,TJK,,50.9382,59.3379,71.5942
Tanzania,TZA,,41.2958,50.7858,66.2007
Thailand,THA,,43.1669,70.9475,78.7154
Togo,TGO,,40.9162,54.0366,61.6194
Tokelau,TKL,,54.9828,70.5562,75.2279
Tonga,TON,,54.0267,68.1699,70.9857
Trinidad and Tobago,TTO,,55.8928,69.17,72.9709
Tunisia,TUN,,37.6049,71.9876,73.7719
Turkey,TUR,,47.7487,69.6094,76.0324
Turkmenistan,TKM,,49.7023,63.684,69.2644
Turks and Caicos Islands,TCA,,48.2064,68.3079,74.5874
Tuvalu,TUV,,36.8019,63.098,64.5466
Uganda,UGA,,39.3299,46.5674,62.7048
Ukraine,UKR,,62.2255,66.8275,71.624
United Arab Emirates,ARE,,41.074,72.6945,78.7104
United Kingdom,GBR,49.92,68.631,76.6164,80.7422
United States,USA,50.3,68.0594,75.8536,77.1982
United States Virgin Islands,VIR,,57.0164,71.9653,74.7241
Upper-middle-income countries,,,45.9866,68.8939,75.2817
Uruguay,URY,,65.6173,73.896,75.4356
Uzbekistan,UZB,,54.7736,64.6463,70.8616
Vanuatu,VUT,,44.5499,67.8853,70.449
Venezuela,VEN,,51.1246,72.1429,70.5536
Vietnam,VNM,,49.2069,71.3837,73.6181
Wallis and Futuna,WLF,,43.7299,71.1319,78.4396
Western Sahara,ESH,,34.8811,60.148,70.7804
World,OWID_WRL,,46.4643,64.8766,71.0479
Yemen,YEM,,31.6624,60.4532,63.7534
Zambia,ZMB,,45.1225,45.5534,61.2234
Zimbabwe,ZWE,,49.6439,50.531,59.2531
